
№,Новость,Ссылка
1,"Студентки, избивавшие сироту в туалете, отчислены из техникума",https://news.yandex.ru/yandsearch?cl4url=www.vesti.ru/doc.html%3Fid%3D2709468&lang=ru&lr=10884
2,Олланд объявил чрезвычайный план по борьбе с безработицей,https://news.yandex.ru/yandsearch?cl4url=www.rg.ru/2016/01/18/bezrabotica-site.html&lang=ru&lr=10884
3,Производители приплатят за свою нефть,https://news.yandex.ru/yandsearch?cl4url=www.kommersant.ru/doc/2895519&lang=ru&lr=10884
4,WhatsApp станет бесплатным для всех пользователей,https://news.yandex.ru/yandsearch?cl4url=www.vedomosti.ru/technology/news/2016/01/18/624425-whatsapp&lang=ru&lr=10884
5,По факту двойного убийства в Москве возбуждено уголовное дело,https://news.yandex.ru/yandsearch?cl4url=rusnovosti.ru/posts/404873&lang=ru&lr=10884
6,В Петербурге закрыли дело о разрушении «Мефистофеля»,https://news.yandex.ru/yandsearch?cl4url=tvrain.ru/news/zakryli_delo_o_razrushenii_gorelefa-401931/&lang=ru&lr=10884
7,Рейс Петербург-Сочи из-за непогоды не смог приземлиться,https://news.yandex.ru/yandsearch?cl4url=www.mr7.ru/articles/124763/&lang=ru&lr=10884
8,В Петербурге избивший сторожа-инвалида депутат пойдёт под суд,https://news.yandex.ru/yandsearch?cl4url=www.tvc.ru/news/show/id/84705/&lang=ru&lr=10884
9,В Петербурге расследуют ДТП с участием машины генконсульства Украины,https://news.yandex.ru/yandsearch?cl4url=www.tvc.ru/news/show/id/84681/&lang=ru&lr=10884
10,"Дошло до суда дело бизнесмена, который сбросил инвалида в Крюков канал",https://news.yandex.ru/yandsearch?cl4url=www.interfax-russia.ru/NorthWest/news.asp%3Fid%3D691645%26sec%3D1671&lang=ru&lr=10884

№,Время,Передача
1,19:00,Интерны ТНТ
2,19:00,Детективы 5 канал
3,19:00,Второе дыхание Домашний
4,19:30,Бой с тенью Че
5,20:00,Кобра РЕН ТВ
